OperationID Site_ID Site_time_routing
0 0 679.0
172 369 681.3141814341448
103 240 681.4046071682029
1 1 681.5759597151297
72 166 681.6284772590649
120 267 681.6562358596368
147 326 681.6810477139403
135 299 681.9644607924415
132 296 682.1050701042936
98 228 682.1722268771797
51 114 682.2217474480328
32 61 682.2469016999721
30 56 682.627940829563
34 66 682.6522505063006
84 190 682.7163105595959
129 288 682.7478692461727
160 350 682.7783302737753
48 98 682.8103974232544
28 53 682.9303933363822
69 161 682.958073335495
44 90 682.9814852732711
24 46 683.0126563641601
55 123 683.1634529659148
45 95 683.2277356818977
57 125 683.2511227132875
7 16 683.2816984762601
62 134 683.6356629013843
22 40 683.6654036028606
78 182 683.6957195170203
106 245 683.7231989810602
26 48 683.7585106086436
65 139 683.7854731849735
127 286 683.8151233022608
75 177 683.9618942234958
67 143 683.9862317326001
71 165 684.0085393437729
117 261 684.0399448460447
46 96 684.0705071931367
20 35 684.0962786392947
235 487 684.1391497161512
97 225 684.1686267326361
79 183 684.2744817485251
58 126 684.3010015049498
80 185 684.3287674481835
121 268 684.3543510107502
47 97 684.384928065942
10 19 684.412146154158
12 23 684.436219097117
36 72 684.4619135238867
272 542 684.5041013005812
262 526 684.5261715685322
202 429 684.5496217810941
169 365 684.5740777207915
392 772 684.6155949487055
171 368 684.6601579847102
441 877 684.6987847289051
277 551 684.729792700786
359 705 684.764499571372
280 559 684.7931191314229
402 796 684.8219680712631
349 693 684.8549805720611
234 484 684.8865818195995
159 347 684.9121578536488
423 843 684.9601514313225
404 801 684.9836122424853
206 434 685.0173319611511
301 598 685.0430792928787
170 367 685.0789706477129
424 845 685.1224936996488
287 566 685.1548459485953
312 621 685.1769164737922
350 695 685.1998227578274
289 568 685.2242607938267
401 794 685.2613904197592
190 403 685.3044198103939
2 3 685.3519609413866
5 9 685.3736889484918
68 151 685.4063690636441
14 25 685.437766898091
111 250 685.4744290953232
168 363 685.5033701815879
119 265 685.5298988067613
92 208 685.5537208985282
76 179 685.5791660440683
63 135 685.607944583159
52 115 685.6291376971128
96 219 685.6580516615502
86 196 685.6819387125746
88 200 685.7047961924202
77 180 685.7302318313522
25 47 685.759574362509
107 246 685.7942870369978
101 235 685.8234810803863
29 55 685.8564991240136
33 63 685.8852130022324
133 297 685.9218096467947
61 133 685.9540261208804
81 187 685.9772639910451
60 132 686.0
0 0 679.0
43 89 681.179188539077
56 124 681.683737780186
53 116 681.7392546648853
50 111 681.7661371427865
4 8 681.7967964597091
41 86 681.9671666331765
73 167 682.0632495660169
16 27 682.229561685319
155 336 682.3070834401444
158 345 682.4213203244402
198 424 682.4649479229925
167 362 682.487081338949
244 499 682.5124353557671
356 702 682.5399668205881
285 564 682.5674839874729
222 466 682.5976644484016
260 522 682.6198385997384
341 678 682.645615140116
397 783 682.674941155546
220 456 682.7058289282371
417 829 682.7393728944618
357 703 682.767256911518
382 749 682.7901871559478
443 879 682.8227358307772
199 425 682.8575851444954
437 869 682.8970442337342
249 508 682.9306137979462
419 833 682.9686911116285
338 670 682.9939874920641
434 865 683.0245147927689
433 864 683.0462113834392
153 333 683.0877798151071
344 685 683.1221633594844
422 842 683.1489476676519
283 562 683.1823636482283
219 453 683.2090595585465
246 502 683.2444956728997
403 797 683.2869909660649
115 259 683.3287386446905
351 696 683.3628647879221
389 764 683.3869935220594
281 560 683.4274914900531
323 639 683.4613210167845
123 277 683.4973052705451
213 447 683.5250426279673
360 708 683.5689344692418
342 681 683.5909115925807
295 583 683.6203886910305
364 719 683.6463303083107
300 596 683.6747890373124
226 473 683.7013918537967
318 633 683.730544484686
324 645 683.7623139663372
179 380 683.7912031145341
339 672 683.8221288966615
415 826 683.8500059618008
251 510 683.8810306117527
186 397 683.9045989418565
304 603 683.9381655155441
257 518 684.0043887250964
432 863 684.0504233496716
391 768 684.0729372178415
393 774 684.0982920267804
